District,Suburb,2014 Jan-Mar,2014 Q2 Apr-Jun,2014 Q3 Jul-Sep,2014 Q4 Oct-Dec,2015 Q1 Jan-Mar,2015 Q2 Apr-Jun,2015 Q3 Jul-Sep,2015 Q4 Oct-Dec,2016 Q1 Jan-Mar,2016 Q2 Apr-Jun,2016 Q3 Jul-Sep,2016 Q4 Oct-Dec,2017 Q1 Jan-Mar,2017 Q2 Apr-Jun,2017 Q3 Jul-Sep,2017 Q4 Oct-Dec,2018 Q1 Jan-Mar,2018 Q2 Apr-Jun
North Canberra,ACTON,136,149,165,121,114,142,115,180,155,152,175,153,146,185,142,173,80,80
North Canberra,AINSLIE,86,104,137,124,121,86,133,124,85,90,96,103,140,123,223,131,103,111
North Canberra,BRADDON,248,290,369,372,324,345,358,307,378,381,265,205,258,241,216,246,175,184
North Canberra,CAMPBELL,72,70,109,107,50,74,84,57,53,75,79,54,81,63,59,87,54,72
North Canberra,CITY,1464,911,945,726,736,1028,913,828,809,848,948,962,1059,1056,926,990,744,661
North Canberra,DICKSON,233,280,243,231,208,211,189,229,172,163,200,196,227,206,208,182,129,113
North Canberra,DOWNER,62,47,28,42,53,41,33,39,35,50,37,52,42,37,45,50,21,38
North Canberra,DUNTROON,2,3,6,2,4,12,4,10,20,29,10,9,6,1,7,3,1,0
North Canberra,HACKETT,25,26,24,35,17,11,30,45,95,27,18,39,81,24,30,20,60,21
North Canberra,LYNEHAM,255,247,237,278,185,155,183,211,158,191,189,195,245,177,212,168,152,146
North Canberra,MAJURA,145,129,139,91,154,76,144,108,105,60,104,86,52,78,111,139,34,10
North Canberra,O'CONNOR,154,134,110,92,115,100,112,100,78,100,104,97,158,151,112,103,95,65
North Canberra,PARKES,73,59,50,64,47,60,54,72,51,52,64,41,44,39,28,38,29,14
North Canberra,REID,100,79,107,101,129,115,91,101,115,115,105,152,171,130,137,120,75,60
North Canberra,RUSSELL,35,27,25,26,33,16,35,19,31,27,34,45,25,35,34,44,31,5
North Canberra,TURNER,121,103,122,97,142,148,128,114,90,114,104,93,101,106,91,104,95,61
North Canberra,WATSON,84,82,84,70,79,95,60,74,76,62,97,94,152,114,83,63,59,49
South Canberra,BARTON,45,102,74,67,50,72,78,72,39,58,67,49,60,70,31,74,42,33
South Canberra,BEARD,8,3,4,0,0,2,3,7,1,3,0,11,8,7,5,4,5,2
South Canberra,CAPITAL HILL,6,5,3,8,12,3,6,10,12,10,5,16,3,5,12,3,2,3
South Canberra,DEAKIN,94,85,90,81,68,128,97,82,81,91,114,81,112,76,92,100,62,50
South Canberra,FORREST,43,34,56,40,22,47,37,45,19,25,32,23,33,31,42,36,25,24
South Canberra,FYSHWICK,258,183,231,209,272,255,310,287,271,268,269,289,264,236,295,200,244,179
South Canberra,GRIFFITH,173,151,154,223,118,182,179,198,181,256,208,232,199,240,167,252,184,153
South Canberra,HARMAN,2,10,4,6,2,0,0,0,0,0,1,1,0,2,4,2,0,0
South Canberra,KINGSTON,72,164,87,125,122,139,171,172,126,103,188,101,133,190,130,146,88,127
South Canberra,NARRABUNDAH,117,213,219,144,128,203,228,189,223,177,149,212,120,237,176,222,181,199
South Canberra,OAKS ESTATE,14,13,22,24,23,10,26,16,8,34,7,16,6,15,14,19,22,16
South Canberra,PIALLIGO,31,34,47,40,54,88,83,44,62,43,57,32,37,31,41,24,21,10
South Canberra,RED HILL,79,70,105,82,79,99,103,125,97,136,107,85,66,92,40,61,28,41
South Canberra,SYMONSTON,37,56,64,56,27,63,57,37,50,32,56,59,40,83,69,44,41,16
South Canberra,YARRALUMLA,98,88,109,82,95,129,87,83,80,95,73,81,110,188,134,110,77,38
Belconnen,ARANDA,140,151,169,185,128,98,126,156,117,101,158,144,127,157,151,277,52,42
Belconnen,BELCONNEN,656,585,587,677,686,660,581,741,602,636,682,713,741,816,591,641,492,554
Belconnen,BRUCE,203,314,259,275,283,244,345,238,220,259,255,239,226,332,303,261,161,110
Belconnen,CHARNWOOD,95,69,73,73,85,69,98,97,60,107,106,117,97,91,96,70,69,78
Belconnen,COOK,41,60,158,90,60,83,38,55,42,46,135,77,81,67,127,106,38,34
Belconnen,DUNLOP,78,63,64,74,69,48,45,57,89,130,88,66,78,50,62,45,40,66
Belconnen,EVATT,104,91,60,65,80,56,62,80,49,81,57,80,115,99,73,62,42,50
Belconnen,FLOREY,121,145,143,117,115,126,114,118,87,105,113,118,146,162,132,177,107,89
Belconnen,FLYNN,41,29,36,30,31,26,32,37,40,45,31,48,37,33,55,49,49,28
Belconnen,FRASER,29,25,27,21,17,25,20,15,14,68,28,42,46,23,17,28,31,27
Belconnen,GIRALANG,53,54,50,47,37,59,42,47,54,53,36,47,54,62,63,70,52,35
Belconnen,HAWKER,96,87,97,71,59,91,79,100,119,90,133,86,107,138,118,98,81,67
Belconnen,HIGGINS,50,39,63,23,50,44,44,31,40,66,42,63,54,54,61,54,46,37
Belconnen,HOLT,157,175,172,140,119,209,157,169,176,206,245,201,232,193,188,147,134,114
Belconnen,KALEEN,101,131,151,124,122,90,241,99,122,90,75,126,111,134,171,113,109,63
Belconnen,LATHAM,67,38,48,65,73,26,52,43,50,53,51,54,84,46,59,51,56,39
Belconnen,LAWSON,10,5,12,9,5,6,3,5,10,9,11,14,49,13,16,28,16,30
Belconnen,MACGREGOR,58,63,75,61,69,67,68,93,55,99,122,109,80,70,50,75,52,34
Belconnen,MACQUARIE,150,69,84,98,68,66,107,82,83,97,112,88,135,127,133,89,84,76
Belconnen,MCKELLAR,34,45,48,38,34,65,38,33,32,46,41,35,31,65,50,42,33,27
Belconnen,MELBA,50,62,41,43,37,47,61,44,55,42,77,55,86,53,74,56,44,58
Belconnen,PAGE,63,46,57,37,52,47,46,27,25,45,66,61,66,39,68,49,83,39
Belconnen,SCULLIN,35,41,46,41,38,32,51,45,49,66,59,37,60,32,91,60,44,39
Belconnen,SPENCE,88,34,37,37,33,24,19,38,37,52,45,62,54,58,61,61,21,27
Belconnen,WEETANGERA,31,17,31,16,17,23,32,26,24,12,45,32,40,30,33,50,16,20
Gungahlin,AMAROO,48,37,40,37,30,37,31,74,61,89,84,76,47,37,63,75,67,51
Gungahlin,BONNER,65,52,43,46,30,53,34,40,47,36,55,55,49,38,100,71,54,28
Gungahlin,CASEY,46,52,60,70,51,60,57,68,59,64,131,93,87,53,68,92,44,65
Gungahlin,CRACE,36,51,38,31,49,41,45,121,39,62,61,49,42,60,44,23,34,26
Gungahlin,FORDE,24,27,19,35,15,62,21,30,48,27,35,28,27,22,43,54,34,19
Gungahlin,FRANKLIN,91,93,117,87,112,110,104,136,137,120,194,141,105,124,144,123,67,70
Gungahlin,GUNGAHLIN,290,253,231,271,202,262,251,310,284,327,296,243,325,243,347,400,219,224
Gungahlin,HALL,7,11,22,17,10,11,2,5,5,7,0,3,15,14,26,14,4,6
Gungahlin,HARRISON,101,98,69,79,66,121,84,124,77,104,116,93,107,184,100,142,75,55
Gungahlin,JACKA,1,5,13,4,21,13,2,5,3,4,8,6,16,3,9,7,5,3
Gungahlin,KENNY,3,23,10,6,10,9,6,5,12,6,0,3,4,6,12,13,0,0
Gungahlin,KINLYSIDE,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0
Gungahlin,MITCHELL,132,104,130,121,147,131,116,110,165,137,168,134,150,196,170,103,83,55
Gungahlin,MONCRIEFF,0,0,5,7,5,10,9,17,15,26,44,50,33,69,81,67,68,40
Gungahlin,NGUNNAWAL,98,97,72,81,62,87,86,123,112,107,102,93,106,108,106,108,85,97
Gungahlin,NICHOLLS,87,109,92,93,77,78,98,100,101,93,91,85,89,105,88,96,49,45
Gungahlin,PALMERSTON,57,61,55,70,86,70,50,70,70,80,82,95,95,56,117,126,42,56
Gungahlin,TAYLOR,0,0,2,0,0,1,0,4,1,2,10,0,0,16,1,1,0,2
Gungahlin,THROSBY,0,1,2,1,4,0,0,0,7,6,3,8,11,4,18,7,8,4
Molonglo Valley,COOMBS,2,2,6,0,16,8,17,31,43,23,32,27,28,61,119,104,37,72
Molonglo Valley,DENMAN PROSPECT,0,0,0,0,0,0,2,1,0,2,7,7,5,17,26,29,16,5
Molonglo Valley,MOLONGLO,0,1,7,0,0,0,3,5,1,1,3,1,4,1,1,3,2,0
Molonglo Valley,WRIGHT,11,12,22,18,34,40,105,43,38,87,109,42,92,68,91,58,29,26
Tuggeranong,BANKS,48,47,38,51,66,72,62,71,41,69,68,40,37,47,44,58,38,28
Tuggeranong,BONYTHON,63,82,92,86,59,51,73,46,36,67,91,87,89,82,98,57,59,55
Tuggeranong,CALWELL,83,139,142,112,122,144,121,126,95,99,91,118,97,103,120,89,111,101
Tuggeranong,CHISHOLM,115,126,122,98,102,170,97,107,120,145,120,132,120,132,120,99,89,80
Tuggeranong,CONDER,84,97,76,107,105,110,97,120,97,83,135,72,81,95,99,83,77,50
Tuggeranong,FADDEN,25,36,47,33,48,49,55,43,36,39,37,34,41,45,43,27,9,27
Tuggeranong,GILMORE,43,59,57,71,53,71,70,40,35,68,56,56,45,58,48,52,32,45
Tuggeranong,GORDON,75,74,133,121,128,108,98,132,114,86,79,92,108,83,131,99,105,62
Tuggeranong,GOWRIE,85,96,87,74,62,50,48,54,32,50,59,52,59,85,43,43,18,18
Tuggeranong,GREENWAY,302,261,458,288,274,265,371,317,272,274,334,302,339,351,255,222,237,281
Tuggeranong,ISABELLA PLAINS,69,98,74,87,53,73,66,78,78,77,69,48,68,129,84,74,62,50
Tuggeranong,KAMBAH,312,255,360,283,456,474,420,367,325,354,446,390,423,470,463,350,292,282
Tuggeranong,MACARTHUR,17,21,44,16,8,29,28,18,18,16,22,27,14,27,8,11,13,11
Tuggeranong,MONASH,95,85,76,66,93,98,81,95,93,55,75,50,58,68,44,89,70,24
Tuggeranong,OXLEY,28,26,32,37,23,32,35,33,38,32,52,28,28,36,25,42,19,29
Tuggeranong,RICHARDSON,85,66,95,67,56,77,86,67,35,53,78,44,105,98,65,60,31,50
Tuggeranong,THEODORE,50,53,64,57,42,50,66,63,32,58,59,50,45,49,49,51,25,45
Tuggeranong,WANNIASSA,276,246,268,282,204,243,241,249,251,261,236,235,279,287,260,181,199,206
Weston Creek ,CHAPMAN,20,18,25,41,38,35,28,25,173,14,26,21,23,21,31,40,19,18
Weston Creek ,DUFFY,43,26,25,54,68,50,79,73,24,38,26,28,28,35,29,28,47,29
Weston Creek ,FISHER,23,37,47,23,46,36,35,38,29,38,54,34,29,37,38,42,43,18
